applicant_name_patstat,company_name_stock,ticker_stock,match_score,match_type,sector_match,parent_match,confidence_mean,confidence_lower,confidence_upper,total_patents
Nippon Telegraph and Telephone Corporation,Nippon Telegraph and Telephone Corporation,NTT,1.0,exact,False,True,1.0,1.0,1.0,54
Sharp Kabushiki Kaisha,Sharp Corporation,SRP.F,1.0,exact,False,True,1.0,1.0,1.0,52
Rockwool International A/S,Rockwool International A/S,ROCK-A.CO,1.0,exact,False,True,1.0,1.0,1.0,52
Eli Lilly and Company,Eli Lilly and Company,LLY,1.0,exact,False,True,0.9968281718281718,0.9942783954330137,0.99937794822333,49
UPM-Kymmene Corporation,UPM KYMMENE CORP.,RPL.BE,1.0,exact,False,True,1.0,1.0,1.0,49
BlackBerry Limited,BlackBerry Limited,BBRY,1.0,exact,False,True,1.0,1.0,1.0,49
"RAKUTEN, INC.","Rakuten, Inc.",RAK.F,1.0,exact,False,True,1.0,1.0,1.0,48
E.I. du Pont de Nemours and Company,E. I. du Pont de Nemours and Company,DD,1.0,exact,False,True,1.0,1.0,1.0,48
Ranbaxy Laboratories Limited,Ranbaxy Laboratories Ltd.,RANBAXY.NS,1.0,exact,False,True,0.9796464646464647,0.9422491590349459,1.0,48
ACTELION PHARMACEUTICALS LTD,"Alexion Pharmaceuticals, Inc.",AXP.DE,0.8671644871471421,fuzzy,True,False,0.8623549090033794,0.8568258220803361,0.8678839959264227,45
Kemira Oyj,KEMIRA OY,KEM.BE,1.0,exact,False,True,1.0,1.0,1.0,44
OMYA INTERNATIONAL AG,OM Holdings Limited,OMH.AX,0.8633333333333333,fuzzy,False,True,0.8633333333333333,0.8633333333333333,0.8633333333333333,44
GE HEALTHCARE LIMITED,"GE Capital Global Holdings, LLC",GEB,0.8575193107546049,fuzzy,False,False,0.8575193107546047,0.8575193107546044,0.8575193107546051,44
Astellas Pharma Inc.,Astellas Pharma Inc.,ALPMY,1.0,exact,True,True,1.0,1.0,1.0,43
KONINKLIJKE PHILIPS N.V.,Koninklijke Philips N.V.,PHG,1.0,exact,False,True,1.0,1.0,1.0,43
IHI Corporation,IHI CORP.,IWJ.DU,1.0,exact,False,True,1.0,1.0,1.0,43
Syngenta Limited,Syngenta AG,SYT,1.0,exact,False,True,1.0,1.0,1.0,42
